task_id,steps_MCP,steps_MCP+ASI,steps_Vanilla,steps_Vanilla+ASI,success_MCP,success_MCP+ASI,success_Vanilla,success_Vanilla+ASI,total_input_tokens_MCP,total_input_tokens_MCP+ASI,total_input_tokens_Vanilla,total_input_tokens_Vanilla+ASI
21,1,3,5,7,False,False,False,False,63420,192248,345982,487582
22,1,1,7,9,True,False,True,True,63245,63251,489567,631746
23,1,1,4,3,True,True,True,True,62886,62891,276131,202538
24,1,1,2,2,True,True,True,True,62266,62275,126395,126413
25,1,1,5,5,True,True,False,False,76062,76067,408058,408199
26,1,1,7,4,True,True,True,True,76065,76066,574122,330610
47,1,1,6,2,True,True,True,True,71258,71256,404957,136407
48,1,1,2,2,True,True,True,True,71249,71271,136234,136417
49,1,1,8,9,True,True,True,True,71238,71230,526386,592755
50,1,1,4,4,False,False,False,False,71253,71258,273890,274371
51,1,1,3,3,False,False,False,False,71251,71273,210246,210444
96,1,1,3,3,True,True,True,True,71260,71245,199096,199375
117,1,1,4,4,True,True,True,True,71262,71230,263941,264332
118,3,2,4,4,False,False,False,False,254063,132906,296149,284818
124,1,1,6,9,False,False,False,False,71266,71273,466793,710766
125,1,1,3,3,False,False,False,False,71260,71247,223264,223447
126,1,1,3,3,True,True,True,True,71260,71271,223540,223753
141,5,5,8,10,False,False,False,False,358365,359380,523224,655662
142,3,1,10,7,False,False,False,False,214469,71243,654529,459533
143,1,1,7,5,False,False,False,False,71247,71258,476145,329220
144,3,2,10,10,True,False,False,False,214602,142873,654463,655698
145,3,4,9,7,True,True,False,True,214853,286398,586667,457688
146,3,1,7,10,False,True,False,False,214581,71221,461958,655059
147,1,1,10,10,False,True,False,False,71262,71247,650470,652066
148,3,1,7,7,True,True,True,True,214250,71260,460924,460238
149,2,2,8,10,True,True,True,True,142909,142718,521297,651319
150,2,1,4,5,True,False,True,True,142909,71267,264936,329318
158,3,3,3,2,True,False,True,True,326394,233101,223758,152605
159,3,7,6,2,True,True,True,True,286617,524629,469524,152571
160,6,4,10,10,True,False,False,False,453254,311717,767372,789354
161,3,3,3,2,True,True,True,True,271262,238753,223794,152609
162,4,1,10,3,False,False,False,True,291431,71258,795095,234345
163,1,1,4,5,False,False,False,False,68432,68430,292704,363259
164,1,2,2,2,True,True,True,True,61435,126076,126065,126041
165,2,1,2,2,False,False,False,False,159659,79626,159685,159669
166,1,2,2,2,False,False,False,False,61336,126395,126387,126377
167,1,2,2,2,False,False,False,False,60382,123835,123828,123803
188,1,1,2,2,True,True,True,True,71264,71243,136224,135195
189,1,1,2,2,True,True,True,True,71249,71234,134992,135177
190,1,1,2,3,True,True,True,True,71249,71284,134996,200483
191,1,1,8,7,True,True,True,True,71247,71267,526185,460417
192,1,1,2,2,True,True,True,True,71236,71271,136269,135160
225,4,1,10,10,False,False,False,False,405031,71271,707872,679094
226,1,1,5,5,False,False,False,False,71277,71232,391695,392580
227,1,1,4,2,True,True,True,True,71288,71258,276116,133514
228,1,1,3,2,False,False,True,True,71249,71245,214950,143210
229,1,1,3,3,True,True,True,True,71264,71234,227814,228169
230,1,1,7,5,True,True,True,True,71286,71273,514000,371909
231,1,1,2,2,True,True,True,True,71251,71262,136220,135159
232,1,1,2,2,True,True,True,True,71262,71241,136220,135168
233,1,1,3,3,True,True,True,True,71264,71269,200225,200414
234,1,1,10,4,True,True,True,True,71273,71243,663958,274384
235,1,1,10,4,True,True,False,True,71249,71230,654841,274295
238,4,2,6,6,True,False,True,False,287726,133798,460757,453165
239,3,3,8,10,True,True,True,False,214904,217343,514612,792106
240,2,1,7,10,True,True,True,True,142700,71258,520374,787813
241,3,1,10,10,False,False,False,False,205829,71243,778198,779152
242,2,1,6,4,True,True,True,False,144399,71247,433294,316730
260,1,1,1,1,True,True,True,True,71277,71258,71273,71240
261,2,1,2,2,True,True,True,True,142787,71247,143172,143143
262,2,2,3,3,True,True,True,True,158732,142914,214320,214481
263,4,3,4,3,False,False,False,True,301095,229450,300603,214402
264,2,1,5,6,True,True,True,True,142960,71258,357978,429977
269,2,1,4,4,True,False,True,True,143239,71234,292582,292836
270,3,1,4,4,True,False,True,False,222786,71245,293350,301098
271,2,2,3,4,True,True,False,True,150626,150415,193709,293845
272,3,2,5,4,True,True,True,True,221134,143106,365022,293450
273,2,2,5,4,True,True,False,True,144521,151683,380010,293945
274,2,2,2,1,True,True,True,True,142724,142660,142724,71240
275,2,1,2,1,True,True,True,True,143132,71232,143021,71264
276,2,1,2,1,True,True,True,True,142676,71260,142664,71255
277,3,2,3,2,False,False,False,False,226712,155317,226553,155230
278,2,1,2,1,True,True,True,True,142718,71249,142748,71227
279,1,2,3,2,False,False,False,False,71247,168256,223943,152774
280,2,1,3,4,False,False,False,False,143780,71247,225538,319904
281,5,1,3,10,False,False,False,False,405361,71258,223078,759913
282,1,3,3,2,False,True,False,False,71236,215844,221441,150271
283,1,1,3,2,False,False,False,False,71264,71243,224443,71373
284,5,3,10,10,False,False,False,False,359110,206732,779591,790654
285,4,3,10,10,True,False,False,False,367060,203803,780505,800845
286,4,5,10,9,False,False,False,False,281583,352367,764515,686732
298,2,1,2,2,True,True,True,True,142778,71234,134997,135184
299,2,1,2,2,True,True,True,True,142615,71245,136240,135131
300,2,1,2,2,True,True,True,True,142657,71245,136256,135153
301,3,2,9,10,True,True,False,False,214135,142557,587981,655182
302,1,1,10,4,True,True,False,True,71236,71258,656561,274371
313,2,2,2,3,True,True,True,True,126062,126022,126026,180866
319,1,1,10,4,False,False,False,False,71210,71260,655002,274317
320,1,1,6,6,True,True,True,False,71275,71232,391165,391658
321,1,1,7,6,True,True,False,False,71271,71219,457648,395395
322,1,1,3,3,True,True,True,True,71275,71260,199125,199423
323,4,3,8,8,False,False,False,False,287331,214868,524316,524063
324,2,3,5,3,False,False,True,True,152065,230484,373711,231347
325,6,3,6,2,False,False,False,False,464405,232567,464044,152299
326,2,1,2,1,True,True,True,True,142790,71247,142703,71253
327,3,2,4,2,True,True,True,True,225328,153912,296595,153875
328,3,2,3,2,True,True,True,True,225464,153936,225212,153847
329,1,1,10,4,False,False,False,False,71275,71297,656644,274356
330,1,1,2,3,False,False,False,False,71253,71271,136199,200324
331,1,1,6,5,True,True,True,True,71260,71232,395914,329724
332,2,1,6,4,False,False,False,True,142990,71232,405652,274465
333,1,1,3,4,False,False,False,False,71223,71262,201352,274292
334,1,1,10,10,True,True,False,False,71251,71249,648781,662508
335,1,1,10,10,True,True,False,False,71249,71234,648911,686414
336,1,1,10,10,True,True,False,False,71264,71236,648715,686214
337,1,1,10,10,True,True,False,False,71273,71288,649011,686585
338,1,1,10,10,True,True,False,False,71232,71230,648798,659959
351,2,1,4,4,True,False,True,True,145244,71245,293137,293228
352,2,3,10,10,True,True,False,False,150191,230032,709563,669934
353,2,2,10,7,True,True,False,False,142742,149658,707095,542579
354,2,1,5,5,True,True,True,True,142630,71234,371517,371882
355,2,2,5,5,True,True,True,True,150520,142753,377851,378281
358,1,1,2,3,False,False,True,True,71232,71245,134113,198096
359,1,1,2,4,True,True,True,True,71275,71275,134685,274324
360,1,1,2,5,True,True,True,True,71273,71258,134722,337882
361,1,1,2,2,True,True,True,True,71271,71271,136238,135191
362,1,1,2,5,True,True,True,True,71258,71260,136974,340145
368,3,2,2,2,False,False,False,False,233327,151250,150357,150553
376,10,1,5,4,False,False,True,True,788328,71258,348011,276833
384,3,1,10,10,True,False,False,True,214798,71256,762334,762478
385,2,1,9,10,False,False,False,False,143317,71232,662881,763158
386,1,1,4,4,False,False,False,False,71258,71245,309702,323451
387,3,4,7,7,False,True,True,True,214224,394310,530317,530221
388,5,1,9,5,True,False,True,True,357644,71258,683404,377242
431,1,1,1,1,True,True,True,True,63145,63140,63138,63142
432,1,1,1,1,True,True,True,True,66777,66785,66766,66772
433,1,1,1,1,True,True,True,True,63766,63769,63756,63764
434,1,1,1,1,True,True,True,True,62982,62981,62967,62969
435,1,1,1,1,True,True,True,True,63042,63038,63027,63031
436,10,10,10,9,False,False,False,False,685965,754635,746251,678782
437,10,10,10,10,False,False,False,False,799009,799169,741949,781103
438,10,10,10,10,False,False,False,False,797419,846853,717134,717632
439,10,10,10,10,False,False,False,False,730725,779786,649879,686833
440,10,10,10,10,False,False,False,False,796240,820814,655548,715556
465,1,1,1,1,True,True,True,True,71262,71256,71249,71234
466,1,1,1,1,True,True,True,True,71258,71271,71253,71238
467,1,1,1,1,True,True,True,True,71245,71258,71242,71264
468,1,1,1,1,True,True,True,True,71256,71282,71214,71264
469,4,4,4,3,False,False,False,False,285360,285245,298265,227351
506,10,1,6,5,False,False,False,False,820412,71258,411571,357430
507,10,10,10,7,False,False,False,False,835282,809816,644997,502735
508,10,1,10,5,False,False,False,False,925727,71258,747901,360499
509,10,10,10,10,False,False,False,False,712932,711463,932717,934391
510,10,10,10,10,False,False,False,False,845478,741905,960720,845478
511,1,1,1,1,True,True,True,True,71234,71273,71236,71251
512,4,3,4,3,False,False,False,False,284498,225913,296715,225573
513,4,3,4,3,False,False,False,False,283780,227051,297947,226766
514,4,3,4,3,False,False,False,False,304594,227426,298315,227132
515,5,3,4,3,False,False,False,False,363477,227444,298508,227096
516,1,1,1,1,True,True,True,True,61848,61846,61846,61851
517,1,1,1,1,True,True,True,True,61744,61750,61732,61733
518,1,1,1,1,True,True,True,True,60926,60931,60917,60934
519,1,1,1,1,True,True,True,True,70145,70147,70139,70159
520,1,1,1,1,True,True,True,True,62827,62824,62815,62831
521,1,1,1,1,True,True,True,True,71271,71234,71240,71262
528,4,1,8,9,False,False,False,False,253097,71245,495079,559431
529,4,1,6,8,False,False,False,False,253803,71269,375468,505260
530,4,10,5,6,False,False,False,False,253084,600181,311504,375568
531,4,1,5,7,False,False,False,False,252952,71267,310753,439041
532,5,1,10,10,False,False,False,False,325121,71254,652570,654221
571,8,8,8,10,True,True,True,True,574256,574308,576340,711464
572,9,9,9,9,True,True,True,True,638378,647963,637728,637786
573,10,10,10,10,False,False,False,False,721570,711999,711383,711559
574,10,10,10,10,False,False,False,False,712089,721839,723672,724067
575,8,9,8,8,True,True,True,True,574048,648025,576510,576715
585,1,1,1,1,True,True,True,True,71258,71230,71238,71225
586,1,1,1,1,True,True,True,True,71260,71256,71234,71249
587,1,1,1,1,True,True,True,True,71260,71271,71240,71262
588,1,1,1,1,True,True,True,True,71232,71273,71225,71247
589,3,2,10,10,False,False,False,False,205488,138069,667442,701891
653,4,10,4,5,False,False,False,False,253536,584764,246846,310788
654,3,10,6,6,False,False,False,False,183859,583674,375268,375395
655,4,10,5,5,False,False,False,False,253611,584237,310681,310784
656,4,1,4,5,False,False,False,False,254313,71258,246946,310944
657,4,4,9,7,False,False,False,False,253145,253253,567665,448080
689,3,3,5,6,False,False,False,False,181239,181244,291236,347464
690,2,2,2,2,True,True,True,True,126056,126095,126028,126027
691,2,2,3,2,True,True,True,True,126079,126068,180834,126055
692,2,2,2,2,True,True,True,True,126071,126020,126042,126104
693,2,2,2,2,True,True,True,True,126024,126063,126032,126065
792,10,10,10,5,False,False,False,False,827849,805251,894682,388378
793,10,1,10,9,False,False,False,False,725694,71258,730604,630451
794,1,2,10,10,True,True,False,False,71243,142763,290765,290699
795,1,3,3,3,True,True,True,True,71256,214011,199368,199472
796,1,1,3,10,True,True,True,False,71258,71260,199468,207259
797,1,1,10,3,True,True,False,True,71243,71260,271159,199461
798,1,2,10,3,True,True,False,True,71217,142704,208259,199517
